"storyTitle","issueNum","publicationDate","principleCharacters","creators","description","value","publisher","series","volumeNum","grade","slabbed","signatures","authenticated"
"""Y'know, After A Long Hard Day...""","1","Jan 1986","","Bob Rozakis | Stephen DeStefano | Karl Kesel","","0.0","DC Comics","'Mazing Man","0","","","",""
"Easy Money / Occupations","2","Feb 1986","","Stephen DeStefano | Bob Rozakis | Karl Kesel","","0.0","DC Comics","'Mazing Man","0","","","",""
"Doing What Married People Do","3","Mar 1986","","Bob Rozakis | Stephen DeStefano | Karl Kesel","","0.0","DC Comics","'Mazing Man","0","","","",""
"The Male Machine: Parts 1 And 2","4","Apr 1986","","Bob Rozakis | Stephen DeStefano | Karl Kesel","","0.0","DC Comics","'Mazing Man","0","","","",""
"Writer's Block","5","May 1986","","Bob Rozakis | Pablo Marcos | Kurt Schaffenberger","","0.0","DC Comics","'Mazing Man","0","","","",""
"Take Me Out To The Ballgame","6","Jun 1986","","Bob Rozakis | Stephen DeStefano | Bob Smith","","0.0","DC Comics","'Mazing Man","0","","","",""
"Secret Wars: Warzones - In Which Wicked Somethings This Way Comes","1A","Jun 10, 2015","","Kieron Gillen | Marguerite Bennett | Stephanie Hans","Stephanie Hans Cover","0.0","Marvel Comics","1602: Witch Hunter Angela","0","","","",""
"Secret Wars: Warzones - In Which All the World's a Stage and The Guardians Overthrow the Players","2A","Jul 29, 2015","","Kieron Gillen | Marguerite Bennett | Stephanie Hans","Stephanie Hans Cover","0.0","Marvel Comics","1602: Witch Hunter Angela","0","","","",""
"Secret Wars: Warzones - In Which Hearts Rend And Heads Roll","3A","Sep 09, 2015","","Kieron Gillen | Marguerite Bennett | Frazer Irving","Stephanie Hans Regular Cover","0.0","Marvel Comics","1602: Witch Hunter Angela","0","","","",""
"Secret Wars: Warzones - In Which A Witch Will Beget A Very Excellent Piece Of Villainy","4","Oct 07, 2015","","Kieron Gillen | Marguerite Bennett | Kody Chamberlain","","0.0","Marvel Comics","1602: Witch Hunter Angela","0","","","",""
"Secret Wars - Chapter One: Tyranny In Timely","1A","Jul 08, 2015","","Gerry Duggan | Nik Virella","Alex Maleev Cover","0.0","Marvel Comics","1872","0","","","",""
"Secret Wars ","2A","Jul 22, 2015","","Gerry Duggan | Manny Mederos | Nik Virella","","0.0","Marvel Comics","1872","0","","","",""
"Secret Wars ","3A","Aug 26, 2015","","Gerry Duggan | Nik Virella","","0.0","Marvel Comics","1872","0","","","",""
"Secret Wars ","4A","Oct 21, 2015","","Gerry Duggan | Nik Virella","","0.0","Marvel Comics","1872","0","","","",""
"Thirty Mile Mall","2","Oct 1993","","Bob Fingerman | Gerard Jones | Evan Skolnick","","0.0","Marvel Comics","2099 Unlimited","0","","","",""
"Artists Respond","1","Jan 2002","","John K. Snyder III | Alan Moore | Terry Anderson","","0.0","DC Comics","9-11","0","","","",""
"The World's Finest Comic Book Writers And Artists Tell Stories To Remember","2","2002","","Darwyn Cooke | Brian Azzarello | Paul Levitz","1st Print","0.0","DC Comics","9-11","0","","","",""
"Gotham By Gaslight","1","1989","","Robert Bloch | Brian Augustyn | Mike Mignola","First Printing","0.0","DC Comics","A Tale of the Batman: Gotham by Gaslight","0","","","",""
"The Beast + The Amazing Spider-Man / Captain America + Quentin Quire","4A","Jan 23, 2013","","Jason Latour | Kaare Andrews | David López","Regular Kaare Andrews Cover","0.0","Marvel Comics","A+X","0","","","",""
"Iron Fist: Doop / Loki: Mister Sinister","5A","Mar 06, 2013","","Kieron Gillen | Kathryn Immonen | David LaFuente","Regular David Lafuente Cover","0.0","Marvel Comics","A+X","0","","","",""
"Iron Man + Beast / Thor + Iceman","7A","Apr 24, 2013","","Christopher Yost | Zeb Wells | R'John Bernales","Regular Orphans Cheeps Cover","0.0","Marvel Comics","A+X","0","","","",""
"Spider-Woman & Kitty Pryde (& Lockheed) / Hawkeye & Deadpool","8","May 22, 2013","","Gerry Duggan | Christopher Hastings | Reilly Brown","","0.0","Marvel Comics","A+X","0","","","",""
"Captain America + Wolverine / Dr. Strange + Quentin Quire, Pixie And Eye-Boy","9","Jun 19, 2013","","David Lapham | Nathan Edmondson | Humberto Ramos","","0.0","Marvel Comics","A+X","0","","","",""
"Black Widow Fantomex / Scarlet Witch Domino","10","Jul 17, 2013","","Adam Warren | B. Clay Moore | Kris Anka","","0.0","Marvel Comics","A+X","0","","","",""
"Thor + Magik / Superior Spider-Man + Cyclops","11","Aug 28, 2013","","Jim Krueger | Mike Benson | Mark Texeira","","0.0","Marvel Comics","A+X","0","","","",""
"Wonder Man + The Beat / Captailn America + Jubilee","12","Sep 25, 2013","","Christos N. Gage | Justin Jordan | Angel Unzueta","","0.0","Marvel Comics","A+X","0","","","",""
"Captain America + Cyclops / Black Widow + Emma Frost","13","Oct 16, 2013","","Howard Chaykin | Gerry Duggan | David Yardin","","0.0","Marvel Comics","A+X","0","","","",""
"Doctor Strange +the Beast / Captain America + Cyclops","15","Dec 11, 2013","","Jai Nitz | Gerry Duggan | Greg Smallwood","","0.0","Marvel Comics","A+X","0","","","",""
"The Amazing Spider-Man + Psylocke / Captain America + Cyclops","16","Jan 08, 2014","","Gerry Duggan | Sean Ryan | Goran Parlov","","0.0","Marvel Comics","A+X","0","","","",""
"Iron Man + Broo / Captain America + Cyclops","17","Feb 19, 2014","","Gerry Duggan | Jeff Loveness | Paco Diaz","","0.0","Marvel Comics","A+X","0","","","",""
"Secret Wars ","1A","May 20, 2015","","G. Willow Wilson | Marguerite Bennett | Jorge Molina","Jim Cheung Regular Cover","0.0","Marvel Comics","A-Force, Vol. 1","0","","","",""
"Secret Wars ","2A","Jul 01, 2015","","G. Willow Wilson | Marguerite Bennett | Jorge Molina","Jorge Molina Regular Cover","0.0","Marvel Comics","A-Force, Vol. 1","0","","","",""
"Secret Wars ","3A","Aug 12, 2015","","G. Willow Wilson | Marguerite Bennett | Jorge Molina","Jorge Molina Regular Cover","0.0","Marvel Comics","A-Force, Vol. 1","0","","","",""
"Secret Wars ","4A","Sep 09, 2015","","Marguerite Bennett | Willow Wilson | Jorge Molina","Jorge Molina Cover","0.0","Marvel Comics","A-Force, Vol. 1","0","","","",""
"Secret Wars ","5A","Oct 14, 2015","","Marguerite Bennett | Willow Wilson | Jorge Molina","Jorge Molina Cover","0.0","Marvel Comics","A-Force, Vol. 1","0","","","",""
"Rage Against the Dying of the Light","5A","May 04, 2016","","Kelly Thompson | Ben Caldwell","Regular Ben Caldwell Cover","0.0","Marvel Comics","A-Force, Vol. 2","0","","","",""
"Rage Against the Dying of the Light","6","Jun 01, 2016","","Kelly Thompson | Ben Caldwell | Scott Hanna","","0.0","Marvel Comics","A-Force, Vol. 2","0","","","",""
"Civil War II ","8A","Aug 10, 2016","","Kelly Thompson | Paulo Siqueira","","0.0","Marvel Comics","A-Force, Vol. 2","0","","","",""
"Civil War II ","10A","Oct 19, 2016","","Kelly Thompson | Paulo Siqueira | Joe Bennett","Regular Stephanie Hans Cover","0.0","Marvel Comics","A-Force, Vol. 2","0","","","",""
"No Tomorrow For Superman!","490B","Sep 28, 1978","","Cary Bates | Douglas Curtis Swan | Frank Chiaramonte","Whitman Edition","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"A Matter Of Light And Death!","491B","Oct 26, 1979","","Cary Bates | Douglas Curtis Swan | Frank Chiaramonte","Whitman Edition","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"""Superman's Secret Afterlife!""","492B","Nov 30, 1978","","Cary Bates | Douglas Curtis Swan | Frank Chiaramonte","Whitman Edition","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Stretching A Point!","661","Dec 04, 1990","","Roger Stern | Bob McLeod | Brett Breeding","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"The Final Chapter","667","Jul 1991","","Roger Stern | Jerry Ordway | Denis Rodier","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Reign of the Supermen - Born Again","687B","Apr 27, 1993","","Roger Stern | Jackson Guice | Denis Rodier","Collector's Edition","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"The Last Purge Of Krypton!","693","Nov 1993","","Frank Pittarese | Roger Stern | Karl Kesel","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Fall of Metropolis - Swan Song","700A","Jun 1994","","Roger Stern | Jackson Guice | Douglas Curtis Swan","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Fall Of Metropolis, Final Conflict","701","Jul 1994","","Louise Simonson | Karl Kesel | Jackson Guice","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Bad Sport!","702","Aug 1994","","David Michelinie | Jackson Guice | Denis Rodier","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Zero Hour - Chronocide!","703","Sep 1994","","David Michelinie | Jackson Guice | Denis Rodier","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Dead Again, Eradication Day!","704","Nov 1994","","David Michelinie | Jackson Guice | Denis Rodier","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Dead Again, Bodies And Motion","705","Dec 1994","","David Michelinie | Jackson Guice | Denis Rodier","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Saved By The Belle!","706","Jan 1995","","David Michelinie | Jackson Guice | Denis Rodier","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Like Fire From The Dark","707","Feb 1995","","David Michelinie | Jackson Guice | Denis Rodier","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Moving Miracle","708","Mar 1995","","Chris Duffy | David Michelinie | Jackson Guice","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Crime Tunnel! Or, When Warriors Strongly Disagee!","709","Apr 1995","","David Michelinie | Jackson Guice | Denis Rodier","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Death of Clark Kent, Men Of A Different Mettle","710","Jun 1995","","Chris Duffy | David Michelinie | Jackson Guice","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Death of Clark Kent, Home And The Hollow Heart!","711","Jul 1995","","David Michelinie | Jackson Guice | Denis Rodier","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Crossing The (Punch) Line!","714","Oct 1995","","David Michelinie | Kieron Dwyer | Denis Rodier","","0.0","DC Comics","Action Comics, Vol. 1","0","","","",""
"Elseworlds - Legacy","6","Jul 19, 1994","","John Byrne | Dennis Janke","","0.0","DC Comics","Action Comics, Vol. 1 Annual","0","","","",""
"Cyborg Superman: Born In Flames","23.1A","Sep 04, 2013","","Michael Alan Nelson | Mike Hawthorne","3D Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Zod","23.2A","Sep 11, 2013","","Gregory Pak | Ken Lashley","3D Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Up Up And Away!","23.3A","Sep 18, 2013","","Charles Soule | Raymund Bermudez | Dan Green","3D Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Full Metal Jacket","23.4A","Sep 18, 2013","","Sholly Fisch | Steve Pugh","3D Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Zero Year - Stormbreaker","25A","Nov 06, 2013","","Gregory Pak | Scott McDaniel | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Monster","26A","Dec 04, 2013","","Gregory Pak | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Underworld","27A","Jan 08, 2014","","Gregory Pak | Mike Hawthorne | R.B. Silva","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"What Lies Beneath","28A","Feb 05, 2014","","Gregory Pak | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Deep Freeze","29A","Mar 05, 2014","","Gregory Pak | Aaron Kuder | Jed Dougherty","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Unbound","30A","Apr 02, 2014","","Gregory Pak | Karl Kerschl | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Superman Doomed - Infected","31A","May 07, 2014","","Gregory Pak | Cameron Stewart | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Superman Doomed - Enemy Of The State, Chapter 1: Nightmare","32A","Jun 04, 2014","","Gregory Pak | Scott Kolins","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Superman Doomed - Enemy Of The State, Nightmare","32B","Jun 04, 2014","","Gregory Pak | Scott Kolins","Bombshell Variant Cover","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Superman Doomed - Superdoom, Chapter One","33A","Jul 02, 2014","","Gregory Pak | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Superman Doomed - Last Sun","34A","Aug 06, 2014","","Gregory Pak | Scott Kolins | Aaron Kuder","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
"Superman Doomed - Doomed: Aftermath","35A","Oct 01, 2014","","Gregory Pak | Scott Kolins | Vicente Cifuentes","","0.0","DC Comics","Action Comics, Vol. 2","0","","","",""
